ts	phase	decision	why	evidence	result
2026-09-04T23:19:34Z	frame	keep browser connection in recorder state	the session name alone cannot identify an external CDP browser	cli/src/browser.rs:326 and live CDP repro	VERIFIED
2026-09-04T23:19:34Z	frame	keep source and setup in the sealed contract	future replay needs provenance and generic preconditions without vendor code	cli/src/scenario.rs and schema/scenario-schema.json	VERIFIED
2026-09-04T23:19:34Z	baseline	repair scenario/2 linter shape	the recorder emitted on and value while the linter checked retired params fields	cli/src/scenario_cli.rs and cargo test lint_scenario_two_do_shape_is_clean	VERIFIED
2026-09-04T23:28:14Z	design	adopt contract-first recorder drafts	one scenario language removes the mapper that emitted invalid replay steps	docs/specs/replayable-recorder.md and cli/src/recorder_shape.rs	VERIFIED
2026-09-04T23:28:14Z	design	keep CDP outside scenario data	a browser endpoint belongs to the local runtime and cannot make a portable journey	cli/src/browser.rs and docs/specs/replayable-recorder.md	VERIFIED
2026-09-04T23:28:14Z	design	retain legacy input only as a compatibility alias	existing workflows need a migration path but new work must use replay-native drafts	docs/specs/replayable-recorder.md	OPEN
2026-09-04T23:31:53Z	contract	add replay-native do and check recorder inputs	the recorder now validates the runner step shape before it reaches the buffer	cli/src/recorder_shape.rs and cargo test recorder_shape::tests	VERIFIED
2026-09-04T23:34:11Z	contract	reject ambiguous legacy presence assertions	a single text argument became a bogus ARIA role and failed only during replay	cli/src/recorder_shape.rs legacy_presence_assert_requires_a_role_and_accessible_name	VERIFIED
2026-09-04T23:34:11Z	docs	document the replay-native record path and external CDP requirement	future agents need one current command shape and the same browser connection on every command	skill-data/core/SKILL.md and docs/specs/replayable-recorder.md	VERIFIED
2026-09-05T00:18:17Z	design	keep JSONL steps and move recording metadata into RecorderState	buffer editing and healing already own the append log, while one typed state removes repeated metadata parsing	cli/src/recorder_state.rs and cli/src/record_step.rs	VERIFIED
2026-09-05T00:18:17Z	runtime	freeze CDP connection in local state and install it in the child environment	all browser children inherit the same resolved endpoint and pin policy without serializing machine data into scenario.json	cli/src/browser.rs and recorder_contract::tests::recording_flushes_checks_and_replays_the_same_contract	VERIFIED
2026-09-05T00:18:17Z	contract	record existing EnvOp values through record-setup	one schema-validated generic operation covers flags storage cookies navigation and GraphQL without product subcommands	cli/src/record_setup.rs and record_setup::tests	VERIFIED
2026-09-05T00:18:17Z	contract	flush recorder provenance into scenario/2	opaque source references and agent-recorder provenance make a sealed scenario traceable without coupling to an upstream provider	cli/src/flush.rs and cli/src/recorder_contract.rs	VERIFIED
2026-09-05T00:18:17Z	verification	run the complete Rust suite and documentation version scan	all focused changes passed together and no stale scenario/v1 reference remains outside the historical handoff	cargo test --manifest-path cli/Cargo.toml and rg scenario/v1 docs skill-data	VERIFIED
2026-09-05T00:18:17Z	review	request independent audit trail review	the final review agent timed out before producing findings, so its absence is a review gap rather than a clean verdict	subagent-artifacts/32f6ca2c-2351-4d03-833d-e6a1efab911b_reviewer_0_output.md	INCONCLUSIVE
2026-09-05T00:35:21Z	root-cause	wait for navigation and click work to settle before the next replay step	the recorder had waited for the local SPA, while replay advanced into partially rendered controls	cli/src/verbs.rs and verbs::tests::goto_invokes_open	VERIFIED
2026-09-05T01:00:00Z	direct-state	store direct typed steps in RecorderState	one state file removes the JSONL mapper and line-oriented metadata	cli/src/recorder_state.rs and cli/src/record_step.rs	CHECKED
2026-09-05T01:00:00Z	direct-state	migrate recorder commands to the typed state	commands now share one source of recording truth	cli/src/{buffer,flush,truncate,verify,run_step,heal_apply}.rs	CHECKED
2026-09-05T01:00:00Z	verification	run direct recorder and web checks	the final state must compile, record, replay, and drive the editor	cargo test, npm test, and web build	VERIFIED
2026-09-05T01:00:00Z	verification	run the browser contract script against the rebuilt CLI	the user-facing path must record direct drafts and replay twice	scripts/ci-browser-contract.sh and tmp/direct-recorder-contract/work	VERIFIED
